Nome_Produto,Categoria,Descricao_Original,Preco
Camiseta Básica Branca,Camisetas,Camiseta de algodão básica branca,49.9
Camiseta Estampada Preta,Camisetas,Camiseta preta com estampa frontal,59.9
Calça Jeans Slim,Calças,Calça jeans slim azul escuro,129.9
Calça Jeans Reta,Calças,Calça jeans reta azul clara,119.9
Jaqueta Jeans,Jaquetas,Jaqueta jeans tradicional azul,189.9
Jaqueta Corta Vento,Jaquetas,Jaqueta leve corta vento preta,159.9
Vestido Floral,Vestidos,Vestido leve com estampa floral,139.9
Vestido Midi Preto,Vestidos,Vestido midi preto básico,149.9
Shorts Jeans,Shorts,Shorts jeans azul claro,89.9
Shorts Moletom,Shorts,Shorts moletom confortável cinza,79.9
Blusa Tricot,Blusas,Blusa tricot manga longa bege,119.9
Blusa Cropped,Blusas,Blusa cropped casual preta,69.9
Camisa Social Branca,Camisas,Camisa social branca manga longa,129.9
Camisa Social Azul,Camisas,Camisa social azul clara,129.9
Moletom Com Capuz,Moletons,Moletom com capuz preto,149.9
Moletom Sem Capuz,Moletons,Moletom básico cinza,139.9
Saia Jeans,Saias,Saia jeans azul tradicional,99.9
Saia Plissada,Saias,Saia plissada preta,109.9
Regata Básica,Regatas,Regata básica branca algodão,39.9
Regata Esportiva,Regatas,Regata esportiva dry fit preta,59.9
